title,indegree,pagerank,betweenness,closeness,eigenvector,canonisation_score,louvain_cluster,leiden_cluster
DIANA_OF_THE_CROSSWAYS_Q5271362,50.88179833821349,0.0012910311398603598,0.004193844960632323,0.38046166386016655,0.02720412503162793,0.11291791638611,3,4
DISCIPLINE_noWikiID,88.61342430976585,0.0018593704447167868,0.001596929016178438,0.33113695549780864,0.02095107027990652,0.0543008598413405,0,1
DOCTOR_THORNE_noWikiID,114.1654890172119,0.001789433821580896,0.0008736269242667852,0.34440873232799246,0.019848849151566452,0.294299317623214,2,2
DOMBEY_AND_SON_Q963659,94.70346972518638,0.002135553771859168,0.0019193648884764034,0.41859973034321807,0.0455776942202511,0.594948283367066,4,0
DRACULA_Q41542,30.89547730636215,0.0005247790535172739,0.010714456891631047,0.3108570744482475,0.005402603858136219,0.964677124546833,1,5
DREAMERS_OF_THE_GHETTO_noWikiID,44.817858275581514,0.0007677000829495846,0.006054387088621936,0.3688394432044229,0.009460483078318075,0.0477757206414661,4,0
DR_JEKYLL_AND_MR_HYDE_Q217352,88.77256730368202,0.0027222796814563915,0.0012439924532576918,0.4273373301256403,0.07280332458652931,0.790633780314419,4,5
DUBLINERS_Q459592,85.76485542135481,0.0021809616108983947,0.0008365903713676945,0.3560426706304795,0.04287550345139847,0.797979883708377,2,5
EAST_LYNNE_Q5328900,83.54423299200478,0.0020742507006437805,0.0015468207387267269,0.36504160231075483,0.04718479365072426,0.498261873505709,2,5
EMMA_(NOVEL)_Q223880,107.76676663495893,0.0029460827894070285,0.0005642627765214399,0.40180038335770063,0.07040274000617236,0.677911265542429,3,4
EMMA_OR_THE_UNFORTUNATE_ATTACHMENT_noWikiID,14.886120490826144,0.0003445854480266913,0.003487971834790831,0.27499300533750387,0.0012545016648169026,0.049863479389024,3,4
EMMELINE_Q5373421,101.23031499909271,0.00161543722511082,0.0002614344910524046,0.3137278397204921,0.011852235078057338,0.137472234822425,0,1
ENNUI_Q117149111,71.71398086996943,0.0016079556203332803,0.001660109018182769,0.4295015717128144,0.03586811373164101,0.117501066676145,4,0
EREWHON_Q1350048,79.07133518123551,0.001322084922418093,0.00229190903822608,0.325391198906595,0.01134573479903417,0.0699415703280632,0,1
EREWHON_REVISITED_Q5385740,75.75423730584244,0.0017625540011497577,0.0014248179762356048,0.4134750902605311,0.04412497410536309,0.0477757206414661,1,3
ERIC_OR_LITTLE_BY_LITTLE_Q5385958,112.80860044954815,0.003782516298771644,0.0006209069162494608,0.4419444781832733,0.11276870243405579,0.0543008598413405,4,3
ESTHER_noWikiID,73.82424749808628,0.0016029305549497713,0.0012222062456699913,0.3682561898085212,0.03920948891597638,0.0477757206414661,1,3
ESTHER_WATERS_Q5401319,68.58057945311575,0.001065853716404989,0.0021655490342174176,0.300309344898907,0.010142368972408035,0.285047546124646,2,2
EUGENE_ARAM_(NOVEL)_Q16385636,92.74764995409751,0.00234593530796576,0.0013681738365075838,0.38046832619341264,0.03773001520670918,0.0477757206414661,3,4
EVELINA_Q1635110,69.7879418297385,0.0017255940005314733,0.0051415449906972895,0.4308847941293952,0.03945620893008629,0.57979506909561,4,0
